Range,Frequency,,,,,
1,0,,,,,
2,0,,,,,
3,0,,,,,
4,0,,,,,
5,0,,,,,
6,0,,,,,
7,0,,,,,
8,0,,,,,
9,0,,,,,
10,0,,,,,
11,0,,,,,
12,0,,,,,
13,0,,,,,
14,0,,,,,
15,0,,,,,
16,0,,,,,
17,0,,,,,
18,0,,,,,
19,0,,,,,
20,4,,,,,
21,8,,,,,
22,10,,,,,
23,2,,,,,
24,2,,,,,
25,10,,,,,
26,4,,,,,
27,4,,,,,
28,14,,,,,
29,4,,,,,
30,10,,,,,
31,12,,,,,
32,14,,,,,
33,18,,,,,
34,6,,,,,
35,14,,,,,
36,14,,,,,
37,10,,,,,
38,14,,,,,
39,12,,,,,
40,8,,,,,
41,14,,,,,
42,12,,,,,
43,6,,,,,
44,4,,,,,
45,4,,,,,
46,2,,,,,
47,6,,,,,
48,4,,,,,
49,2,,,,,
50,2,,,,,
51,2,,,,,
52,0,,,,,
53,0,,,,,
54,0,,,,,
55,2,,,,,
56,0,,,,,
57,0,,,,,
58,0,,,,,
59,0,,,,,
60,2,,,,,
