Range,Frequency
1,0
2,0
3,0
4,0
5,0
6,0
7,0
8,0
9,0
10,0
11,0
12,0.0000000203822757560701
13,0.0103282814111187
14,0.511637172007144
15,0.880803622990626
16,0.937460151805649
17,0.946835978915808
18,0.948327396886159
19,0.946835978915808
20,0.937460151805649
21,0.880803622990626
22,0.511637172007144
23,0.0103282814111187
24,0.0000000626019057703431
25,0
26,0
27,0
28,0
29,0
30,0
31,0
32,0
33,0
34,0
35,0
36,0
37,0
38,0
39,0
40,0
41,0
42,0
43,0
44,0
45,0
46,0
47,0
48,0
49,0
50,0
51,0
52,0
53,0
54,0
55,0
56,0
57,0
58,0
59,0
60,0
