Range,Frequency,,,,,
1,5,,,,,
2,2,,,,,
3,3,,,,,
4,6,,,,,
5,6,,,,,
6,7,,,,,
7,7,,,,,
8,6,,,,,
9,8,,,,,
10,11,,,,,
11,12,,,,,
12,10,,,,,
13,13,,,,,
14,10,,,,,
15,9,,,,,
16,5,,,,,
17,11,,,,,
18,4,,,,,
19,7,,,,,
20,4,,,,,
21,2,,,,,
22,5,,,,,
23,2,,,,,
24,1,,,,,
25,1,,,,,
26,4,,,,,
27,0,,,,,
28,0,,,,,
29,1,,,,,
30,0,,,,,
31,0,,,,,
32,1,,,,,
33,1,,,,,
34,0,,,,,
35,1,,,,,
36,2,,,,,
37,0,,,,,
38,0,,,,,
39,0,,,,,
40,0,,,,,
41,1,,,,,
42,0,,,,,
43,0,,,,,
44,0,,,,,
45,0,,,,,
46,0,,,,,
47,0,,,,,
48,0,,,,,
49,0,,,,,
50,0,,,,,
51,0,,,,,
52,0,,,,,
53,0,,,,,
54,0,,,,,
55,0,,,,,
56,0,,,,,
57,0,,,,,
58,0,,,,,
59,0,,,,,
60,0,,,,,
