Range,Frequency,,,,,
-119,19,,,,,
-118,14,,,,,
-117,11,,,,,
-116,17,,,,,
-115,19,,,,,
-114,12,,,,,
-113,27,,,,,
-112,24,,,,,
-111,15,,,,,
-110,11,,,,,
-109,3,,,,,
-108,-1,,,,,
-107,3,,,,,
-106,1,,,,,
-105,1,,,,,
-104,2,,,,,
-103,-1,,,,,
-102,-1,,,,,
-101,5,,,,,
-100,3,,,,,
-99,4,,,,,
-98,3,,,,,
-97,10,,,,,
-96,3,,,,,
-95,3,,,,,
-94,5,,,,,
-93,7,,,,,
-92,5,,,,,
-91,12,,,,,
-90,7,,,,,
-89,4,,,,,
-88,5,,,,,
-87,6,,,,,
-86,6,,,,,
-85,13,,,,,
-84,5,,,,,
-83,15,,,,,
-82,3,,,,,
-81,11,,,,,
-80,18,,,,,
-79,-1,,,,,
-78,-1,,,,,
-77,-1,,,,,
-76,10,,,,,
-75,11,,,,,
-74,8,,,,,
-73,8,,,,,
-72,7,,,,,
-71,15,,,,,
-70,3,,,,,
-69,7,,,,,
-68,14,,,,,
-67,7,,,,,
-66,19,,,,,
-65,9,,,,,
-64,13,,,,,
-63,7,,,,,
-62,13,,,,,
-61,8,,,,,
-60,3,,,,,
-59,18,,,,,
-58,16,,,,,
-57,4,,,,,
-56,12,,,,,
-55,8,,,,,
-54,13,,,,,
-53,15,,,,,
-52,16,,,,,
-51,5,,,,,
-50,21,,,,,
-49,15,,,,,
-48,16,,,,,
-47,17,,,,,
-46,9,,,,,
-45,7,,,,,
-44,12,,,,,
-43,8,,,,,
-42,12,,,,,
-41,1,,,,,
-40,7,,,,,
-39,14,,,,,
-38,11,,,,,
-37,11,,,,,
-36,8,,,,,
-35,14,,,,,
-34,10,,,,,
-33,4,,,,,
-32,7,,,,,
-31,7,,,,,
-30,15,,,,,
-29,5,,,,,
-28,4,,,,,
-27,16,,,,,
-26,4,,,,,
-25,20,,,,,
-24,13,,,,,
-23,8,,,,,
-22,9,,,,,
-21,8,,,,,
-20,3,,,,,
-19,2,,,,,
-18,-1,,,,,
-17,-1,,,,,
-16,-1,,,,,
-15,1,,,,,
-14,2,,,,,
-13,1,,,,,
-12,-1,,,,,
-11,1,,,,,
-10,6,,,,,
-9,-1,,,,,
-8,-1,,,,,
-7,2,,,,,
-6,-1,,,,,
-5,-1,,,,,
-4,-1,,,,,
-3,2,,,,,
-2,1,,,,,
-1,-1,,,,,
0,-1,,,,,
1,1,,,,,
2,2,,,,,
3,-1,,,,,
4,-1,,,,,
5,-1,,,,,
6,1,,,,,
7,-1,,,,,
8,-1,,,,,
9,-1,,,,,
10,3,,,,,
11,-1,,,,,
12,-1,,,,,
13,2,,,,,
14,3,,,,,
15,-1,,,,,
16,6,,,,,
17,6,,,,,
18,3,,,,,
19,6,,,,,
20,1,,,,,
21,-1,,,,,
22,-1,,,,,
23,14,,,,,
24,7,,,,,
25,5,,,,,
26,-1,,,,,
27,-1,,,,,
28,1,,,,,
29,4,,,,,
30,-1,,,,,
31,-1,,,,,
32,-1,,,,,
33,-1,,,,,
34,-1,,,,,
35,2,,,,,
36,-1,,,,,
37,-1,,,,,
38,6,,,,,
39,3,,,,,
40,-1,,,,,
41,-1,,,,,
42,6,,,,,
43,1,,,,,
44,4,,,,,
45,2,,,,,
46,3,,,,,
47,4,,,,,
48,4,,,,,
