Range,Frequency
-119,36
-118,35
-117,32
-116,33
-115,36
-114,41
-113,11
-112,10
-111,19
-110,19
-109,13
-108,12
-107,21
-106,29
-105,22
-104,19
-103,16
-102,17
-101,22
-100,26
-99,17
-98,24
-97,23
-96,14
-95,3
-94,15
-93,21
-92,15
-91,13
-90,14
-89,12
-88,12
-87,19
-86,8
-85,10
-84,6
-83,12
-82,22
-81,19
-80,7
-79,14
-78,20
-77,12
-76,17
-75,17
-74,20
-73,6
-72,7
-71,8
-70,15
-69,16
-68,17
-67,1
-66,9
-65,4
-64,5
-63,11
-62,7
-61,1
-60,10
-59,10
-58,20
-57,9
-56,10
-55,15
-54,16
-53,2
-52,4
-51,7
-50,6
-49,10
-48,17
-47,17
-46,13
-45,12
-44,4
-43,10
-42,12
-41,9
-40,1
-39,2
-38,3
-37,13
-36,6
-35,1
-34,4
-33,12
-32,1
-31,15
-30,14
-29,11
-28,11
-27,13
-26,6
-25,5
-24,7
-23,4
-22,11
-21,7
-20,9
-19,7
-18,10
-17,9
-16,6
-15,11
-14,12
-13,6
-12,13
-11,11
-10,14
-9,5
-8,5
-7,5
-6,9
-5,10
-4,8
-3,11
-2,11
-1,13
0,12
1,11
2,13
3,17
4,11
5,8
6,8
7,11
8,4
9,14
10,14
11,15
12,18
13,15
14,20
15,16
16,10
17,9
18,25
19,13
20,8
21,19
22,13
23,26
24,15
25,14
26,15
27,18
28,9
29,5
30,13
31,14
32,10
33,14
34,23
35,17
36,18
37,13
38,16
39,26
40,22
41,26
42,18
43,17
44,17
45,13
46,3
47,19
48,22
