Range,Frequency,,
-119,-1,,
-118,-1,,
-117,-1,,
-116,-1,,
-115,-1,,
-114,14,,
-113,1,,
-112,1,,
-111,5,,
-110,9,,
-109,13,,
-108,1,,
-107,3,,
-106,10,,
-105,5,,
-104,-1,,
-103,4,,
-102,6,,
-101,2,,
-100,8,,
-99,-1,,
-98,8,,
-97,2,,
-96,3,,
-95,1,,
-94,1,,
-93,3,,
-92,10,,
-91,5,,
-90,9,,
-89,10,,
-88,7,,
-87,4,,
-86,11,,
-85,3,,
-84,3,,
-83,8,,
-82,10,,
-81,5,,
-80,7,,
-79,3,,
-78,5,,
-77,4,,
-76,6,,
-75,7,,
-74,8,,
-73,4,,
-72,3,,
-71,4,,
-70,1,,
-69,1,,
-68,-1,,
-67,5,,
-66,2,,
-65,2,,
-64,2,,
-63,4,,
-62,6,,
-61,2,,
-60,5,,
-59,7,,
-58,6,,
-57,5,,
-56,4,,
-55,9,,
-54,1,,
-53,6,,
-52,4,,
-51,6,,
-50,10,,
-49,2,,
-48,3,,
-47,5,,
-46,2,,
-45,3,,
-44,2,,
-43,4,,
-42,9,,
-41,5,,
-40,1,,
-39,1,,
-38,1,,
-37,6,,
-36,6,,
-35,5,,
-34,6,,
-33,10,,
-32,5,,
-31,10,,
-30,4,,
-29,1,,
-28,1,,
-27,2,,
-26,6,,
-25,7,,
-24,10,,
-23,15,,
-22,10,,
-21,16,,
-20,12,,
-19,10,,
-18,7,,
-17,6,,
-16,6,,
-15,7,,
-14,-1,,
-13,-1,,
-12,-1,,
-11,-1,,
-10,-1,,
-9,-1,,
-8,-1,,
-7,-1,,
-6,-1,,
-5,-1,,
-4,-1,,
-3,-1,,
-2,-1,,
-1,-1,,
0,19,,
1,16,,
2,6,,
3,11,,
4,15,,
5,23,,
6,29,,
7,16,,
8,11,,
9,6,,
10,8,,
11,-1,,
12,4,,
13,-1,,
14,1,,
15,6,,
16,4,,
17,2,,
18,1,,
19,5,,
20,1,,
21,2,,
22,10,,
23,10,,
24,10,,
25,17,,
26,6,,
27,-1,,
28,2,,
29,9,,
30,-1,,
31,-1,,
32,-1,,
33,1,,
34,2,,
35,2,,
36,-1,,
37,1,,
38,2,,
39,0,,
40,0,,
41,1,,
42,3,,
43,6,,
44,4,,
45,4,,
46,1,,
47,2,,
48,-1,,
