Range,Frequency
-119,23.6875
-118,23.8125
-117,23.625
-116,23.2
-115,25.2
-114,21.625
-113,23.5
-112,22.625
-111,22.0625
-110,23.25
-109,18.9375
-108,23.266666666666666
-107,22.866666666666667
-106,23.466666666666665
-105,22.133333333333333
-104,21.071428571428573
-103,20.6
-102,21.125
-101,23.444444444444443
-100,23.11764705882353
-99,23.058823529411764
-98,21
-97,21.333333333333332
-96,22.105263157894736
-95,19.36842105263158
-94,18
-93,18.157894736842106
-92,20.833333333333332
-91,20.68421052631579
-90,20.85
-89,18.736842105263158
-88,20.157894736842106
-87,20
-86,19.263157894736842
-85,20.05263157894737
-84,19.11111111111111
-83,21.263157894736842
-82,19.38888888888889
-81,21.833333333333332
-80,21.63157894736842
-79,21.05263157894737
-78,21.05263157894737
-77,19.736842105263158
-76,17.8
-75,19.8
-74,20.3
-73,18.736842105263158
-72,20.8
-71,19.263157894736842
-70,21.75
-69,21.55
-68,22.31578947368421
-67,18.35
-66,21.65
-65,21.5
-64,20.55
-63,21.75
-62,22.4
-61,19.842105263157894
-60,21.842105263157894
-59,21.05263157894737
-58,23
-57,20.31578947368421
-56,21.789473684210527
-55,19.42105263157895
-54,22.789473684210527
-53,21.473684210526315
-52,21.65
-51,25.15
-50,19.94736842105263
-49,21.142857142857142
-48,23.714285714285715
-47,22.523809523809526
-46,22.454545454545453
-45,20
-44,19.91304347826087
-43,21.26086956521739
-42,24.043478260869566
-41,22.708333333333332
-40,21.041666666666668
-39,23.583333333333332
-38,22.25
-37,21.416666666666668
-36,20.916666666666668
-35,21.458333333333332
-34,22.5
-33,21.333333333333332
-32,18.166666666666668
-31,23.25
-30,21.125
-29,21.2
-28,18.64
-27,19.52
-26,20.76
-25,22.4
-24,21.96
-23,22.791666666666668
-22,21.846153846153847
-21,18.923076923076923
-20,20.037037037037038
-19,21.576923076923077
-18,22.076923076923077
-17,21.115384615384617
-16,21.53846153846154
-15,18.423076923076923
-14,22.807692307692307
-13,21.807692307692307
-12,21.76
-11,21.88
-10,19.12
-9,22.16
-8,19.703703703703702
-7,21.77777777777778
-6,22.107142857142858
-5,22.576923076923077
-4,19.96153846153846
-3,21.37037037037037
-2,18.448275862068964
-1,22.892857142857142
0,23.533333333333335
1,19.774193548387096
2,18.806451612903224
3,20.774193548387096
4,19.806451612903224
5,19.5
6,21.275862068965516
7,21.962962962962962
8,20.071428571428573
9,22.964285714285715
10,20.77777777777778
11,19.12
12,22.84
13,20.6
14,21.74074074074074
15,23.2
16,20.962962962962962
17,19.53846153846154
18,21.46153846153846
19,22.48
20,21.846153846153847
21,21.73913043478261
22,20.08695652173913
23,18.625
24,20.84
25,20.88
26,22.08695652173913
27,23.545454545454547
28,21.833333333333332
29,19
30,20.09090909090909
31,23.285714285714285
32,21.61904761904762
33,21.863636363636363
34,21.818181818181817
35,22
36,25.571428571428573
37,24.40909090909091
38,23.043478260869566
39,23.09090909090909
40,25.45
41,22.272727272727273
42,20.782608695652176
43,23.130434782608695
44,23.043478260869566
45,22.818181818181817
46,23.681818181818183
47,23.608695652173914
48,22.59090909090909
